사고년도,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형 대분류,사고유형 중분류,사고유형,가해자법규위반,도로형태 대분류,도로형태,가해당사자 종별,피해당사자 종별,주야구분,발생일,발생시간,발생요일,발생위치X좌표 (EPSG 5179),발생위치Y좌표 (EPSG 5179),경도좌표,위도좌표
2018,1,1,,,,서울특별시,중구,차대차,추돌,추돌,신호위반,교차로,교차로내,자전거,화물차,야간,2018-12-01,04,수요일,953467,1950667,126.97317056,37.55417442
2018,1,3,2,,,서울특별시,중구,차대차,추돌,추돌,과속,단일로,터널안,승용차,건설기계,주간,2019-01-14,16,일요일,955681,1949858,126.99828463,37.54699189
2018,1,1,,,,대전광역시,서구,차대차,기타,기타,중앙선 침범,단일로,기타단일로,승용차,이륜차,야간,2018-04-26,23,목요일,989187,1817375,127.37948522,36.35372853
2018,1,1,,,,대전광역시,유성구,차대차,측면충돌,측면충돌,과속,교차로,교차로내,승용차,승용차,야간,2018-08-29,00,토요일,983193,1814644,127.31273914,36.32902148
2018,1,1,,,,대전광역시,유성구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,야간,2018-08-31,21,월요일,981605,1818100,127.29496434,36.36014955
2018,1,2,,1,,인천광역시,중구,차대사람,기타,기타,과속,교차로,교차로내,승용차,보행자,야간,2018-06-17,23,화요일,910771,1944494,126.49058446,37.49539593
2018,1,1,,,,경기도,고양시,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,승합차,보행자,주간,2018-11-21,17,일요일,935607,1962929,126.76989964,37.66361368
2018,1,1,,,,경기도,고양시,차대차,추돌,추돌,과속,단일로,기타단일로,승용차,이륜차,야간,2018-12-18,04,토요일,939920,1962947,126.8187965,37.66406845
2018,1,3,2,,,경기도,동두천시,차대차,측면충돌,측면충돌,과속,교차로,교차로내,승용차,화물차,주간,2018-05-30,08,금요일,960972,1993313,127.05584562,37.93889216
2018,1,1,,,,경기도,화성시,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승합차,보행자,주간,2018-06-18,16,수요일,948147,1903213,126.91626327,37.12617108
